item_title,image_url,link
Beda people,The Beda people are a community found in Jammu and Kashmir.,http://en.wikipedia.org/wiki/Beda_people
Ezhava Siva,"Ezhava is a caste in Kerala. Shiva is a Hindu god. Ezhava Siva refers to Siva idol consecrated by social reformer Sree Narayana Guru at Aruvippuram, in 1888. This was major break from tradition as installation of idols by non Brahmins was considered blasphemy and Sree Narayana Guru belonged to the lower caste Ezhava community.",http://en.wikipedia.org/wiki/Ezhava_Siva
Liga AtlÃ©tica Interuniversitaria de Puerto Rico,"The Liga AtlÃ©tica Interuniversitaria de Puerto Rico, often abbreviated LAI, (English: ""Puerto Rico Inter-university Athletics League"", LAI) is a college athletics conference in Puerto Rico. The LAI is a non-profit organization whose main purpose is to regulate sports amongst its member institutions.",http://en.wikipedia.org/wiki/Liga_AtlÃ©tica_Interuniversitaria_de_Puerto_Rico
Mercedes-Benz M119 engine,The Mercedes-Benz M119 was a V8 automobile engine produced from 1989 through 1999. It was available in 4.2 L; 5.0 L; and 6.0 L displacements. It was a double overhead cam design with 4 valves per cylinder and variable valve timing on the intake side.,http://en.wikipedia.org/wiki/Mercedes-Benz_M119_engine
Renault Midlum,"The Renault Midlum, of Renault Trucks Distribution range, (7.5â€“18 tonnes) was a vehicle specially dedicated to urban distribution and local services. It was launched in 2000, and by 2010, the 100,000 unit was manufactured.The range was revised in 2006, fitted with new 5- and 7-litre engines. The Midlum was replaced by the Renault Trucks D.",http://en.wikipedia.org/wiki/Renault_Midlum
All Tripura Tiger Force,"The All Tripura Tiger Force (ATTF) is an isolationist group from the Tripura region of India. It was founded on July 11, 1990, by a group of former Tripura National Volunteer members under the leadership of Ranjit Debbarma. The ATTF is currently considered a terrorist organization by India. The rebellion, in which it is involved is the Tripura Rebellion. According to the South Asian Terrorism Portal, approximately 90% of the ATTF's administration are Hindu and the rest are Christian.",http://en.wikipedia.org/wiki/All_Tripura_Tiger_Force
Attur division,"Attur division is a revenue division in the Salem district of Tamil Nadu, India.",http://en.wikipedia.org/wiki/Attur_division
Hasan II (Bavandid ruler),"Hasan II (Persian: ___), also known as Fakhr al-Dawla Hasan (Persian: ___ _Ù„_ÙˆÙ„Ù‡ ___), was the last ruler of the Bavand dynasty from 1334 to 1349. He was the brother, and successor of Sharaf al-Muluk.",http://en.wikipedia.org/wiki/Hasan_II_(Bavandid_ruler)
Mareth Line,"The Mareth Line was a system of fortifications built by the French between the towns of Medenine and GabÃ¨s in southern Tunisia, prior to World War II. It was designed to defend against attacks from the Italians in Libya, but following the Fall of France and Operation Torch it fell into Axis hands and was used by the Italians and Germans to defend against the British instead.",http://en.wikipedia.org/wiki/Mareth_Line
National Education Day (India),"National Education Day is an annual observance in India to commemorate the birth anniversary of Maulana Abul Kalam Azad, the first education minister of independent India, who served from 15 August 1947 until 2 February 1958. National Education Day of India is celebrated on 11 November. </ref>",http://en.wikipedia.org/wiki/National_Education_Day_(India)
Rang Mahal (Red Fort),"The Rang Mahal or Palace of Colour is located in the Red Fort, Delhi.It originally served as a part of the imperial harem and was known as the Palace of Distinction (Imtiyaz Mahal) during the rule of Shah Jahan. After the British occupied the fort in 1857, Rang Mahal was used as a mess hall for a brief time.The building's interior was once richly painted and decorated.",http://en.wikipedia.org/wiki/Rang_Mahal_(Red_Fort)
Hailu Tekle Haymanot,"Hailu Tekle Haymanot, KBE (1868â€“1950), also named Hailu II of Gojjam, was an army commander and a member of the nobility of the Ethiopian Empire. He represented a provincial ruling elite who were often at odds with the Ethiopian central government. Hailu Tekle Haymanot was an independent-minded potentate who, throughout his life, was mistrustful and mistrusted by the Emperor.",http://en.wikipedia.org/wiki/Hailu_Tekle_Haymanot
Mazda G4A-EL transmission,"The G4A-EL was a 4-speed automatic transmission from Mazda. It was Mazda's first four-speed transmission on its introduction in 1987.The original 1987 G4A-EL included three shift solenoids, a lockup solenoid, a vane-type pump, and a throttle cable. It was redesigned for 1988 and used in the Ford Probe the next year under the 4EAT-G name by Ford.Applications: 1987â€“1992 Mazda 626 1989â€“1992 Mazda MX-6 1989â€“1992 Ford Probe 1990â€“1991 Mazda 323 AWD",http://en.wikipedia.org/wiki/Mazda_G4A-EL_transmission
TeST TST-10 Atlas,"The TeST TST-10 Atlas is a single-seat, standard class sailplane, with a 15 m (49 ft 3 in) wingspan, manufactured by TeST Gliders in The Czech Republic. It is available both as a pure glider (TST-10) and self-launching glider (TST-10M).",http://en.wikipedia.org/wiki/TeST_TST-10_Atlas
MCIT Library Consortium,"In India, a number of library consortia operate to share e-resources among member libraries to serve their users. The Ministry of Communications and Information Technology oversees the MCIT Library Consortium to subscribe to and share e-resources at highly discounted rates, and to extend to its services to various organisations and institutions under its umbrella.",http://en.wikipedia.org/wiki/MCIT_Library_Consortium
Padmapuram Gardens,"Padmapuram Gardens is a tourist attraction in the Araku valley in Andhra Pradesh, India. The gardens have a good collection of appealing plants and flowers.",http://en.wikipedia.org/wiki/Padmapuram_Gardens
